model,cohort,criterion,feature,rbo
deepseekr1_8b,open,Customization Options,Play games,0.4795116467710698
deepseekr1_8b,open,Customization Options,Collaborate with others,0.5793515958381605
deepseekr1_8b,open,Customization Options,Write notes,0.7038748360959015
deepseekr1_8b,open,Customization Options,Search for offer on item,0.35600931577602635
deepseekr1_8b,open,Customization Options,List items for sale,0.5417180279570876
deepseekr1_8b,open,Feature Breadth and Richness,Broadcast messages to multiple contacts,0.5714018172845464
deepseekr1_8b,open,Feature Breadth and Richness,Send files,0.5015330294125675
deepseekr1_8b,open,Feature Breadth and Richness,Watch streams,0.690537227242136
deepseekr1_8b,open,Feature Breadth and Richness,Go Live,0.7633393981180082
deepseekr1_8b,open,Feature Breadth and Richness,Play playlist on shuffle mode,0.8669083544518358
deepseekr1_8b,open,Feature Breadth and Richness,Access to podcasts,0.49360015003762486
deepseekr1_8b,open,Feature Breadth and Richness,Build photo collage,0.4754848768839412
deepseekr1_8b,open,Feature Breadth and Richness,Photo effects,0.4802564803540126
deepseekr1_8b,open,Feature Breadth and Richness,Access to movies,0.8309355742629227
deepseekr1_8b,open,Feature Breadth and Richness,Rate movies,0.6491820154622464
deepseekr1_8b,open,Feature Breadth and Richness,Keeping up with friends,0.7302355768991606
deepseekr1_8b,open,Feature Breadth and Richness,Play games,0.5861169458412225
deepseekr1_8b,open,Feature Breadth and Richness,Collaborate with others,0.6642978721540185
deepseekr1_8b,open,Feature Breadth and Richness,Write notes,0.7273246400535649
deepseekr1_8b,open,Feature Breadth and Richness,Search for offer on item,0.30668134215870235
deepseekr1_8b,open,Feature Breadth and Richness,List items for sale,0.5605902478820481
deepseekr1_8b,open,Integration with Other Services,Broadcast messages to multiple contacts,0.4311700783325946
deepseekr1_8b,open,Integration with Other Services,Send files,0.5213886562468466
deepseekr1_8b,open,Integration with Other Services,Watch streams,0.61545898433911
deepseekr1_8b,open,Integration with Other Services,Go Live,0.4471896493968006
deepseekr1_8b,open,Integration with Other Services,Play playlist on shuffle mode,0.8077587080765689
deepseekr1_8b,open,Integration with Other Services,Access to podcasts,0.6692376896333385
deepseekr1_8b,open,Integration with Other Services,Build photo collage,0.5050080649686197
deepseekr1_8b,open,Integration with Other Services,Photo effects,0.4721046919972658
deepseekr1_8b,open,Integration with Other Services,Access to movies,0.8058924019953636
deepseekr1_8b,open,Integration with Other Services,Rate movies,0.5419970262235299
deepseekr1_8b,open,Integration with Other Services,Keeping up with friends,0.6896422703303073
deepseekr1_8b,open,Integration with Other Services,Play games,0.5693320810444067
deepseekr1_8b,open,Integration with Other Services,Collaborate with others,0.6999095767699235
deepseekr1_8b,open,Integration with Other Services,Write notes,0.7280723719248097
deepseekr1_8b,open,Integration with Other Services,Search for offer on item,0.30456240627891645
deepseekr1_8b,open,Integration with Other Services,List items for sale,0.613760381055826
deepseekr1_8b,open,Performance and Stability,Broadcast messages to multiple contacts,0.7996560115412918
deepseekr1_8b,open,Performance and Stability,Send files,0.4855280194108535
deepseekr1_8b,open,Performance and Stability,Watch streams,0.5567782249119014
deepseekr1_8b,open,Performance and Stability,Go Live,0.756626969418526
deepseekr1_8b,open,Performance and Stability,Play playlist on shuffle mode,0.8130793506631966
deepseekr1_8b,open,Performance and Stability,Access to podcasts,0.7784624055015766
deepseekr1_8b,open,Performance and Stability,Build photo collage,0.4605522933356069
deepseekr1_8b,open,Performance and Stability,Photo effects,0.5060406604159035
deepseekr1_8b,open,Performance and Stability,Access to movies,0.881105013499939
deepseekr1_8b,open,Performance and Stability,Rate movies,0.5795654671674905
deepseekr1_8b,open,Performance and Stability,Keeping up with friends,0.7091394396033642
deepseekr1_8b,open,Performance and Stability,Play games,0.7193224587822719
deepseekr1_8b,open,Performance and Stability,Collaborate with others,0.700021378509768
deepseekr1_8b,open,Performance and Stability,Write notes,0.531649815437659
deepseekr1_8b,open,Performance and Stability,Search for offer on item,0.2763024549400305
deepseekr1_8b,open,Performance and Stability,List items for sale,0.5105534503474003
deepseekr1_8b,open,Platform and Device Compatibility,Broadcast messages to multiple contacts,0.7473443802943064
deepseekr1_8b,open,Platform and Device Compatibility,Send files,0.510680521605761
deepseekr1_8b,open,Platform and Device Compatibility,Watch streams,0.7510968133946865
deepseekr1_8b,open,Platform and Device Compatibility,Go Live,0.5975710887600667
deepseekr1_8b,open,Platform and Device Compatibility,Play playlist on shuffle mode,0.7530491740727736
deepseekr1_8b,open,Platform and Device Compatibility,Access to podcasts,0.7178445750151703
deepseekr1_8b,open,Platform and Device Compatibility,Build photo collage,0.45775705401610156
deepseekr1_8b,open,Platform and Device Compatibility,Photo effects,0.6657680009235059
deepseekr1_8b,open,Platform and Device Compatibility,Access to movies,0.5944164153379871
deepseekr1_8b,open,Platform and Device Compatibility,Rate movies,0.6054719822710648
deepseekr1_8b,open,Platform and Device Compatibility,Keeping up with friends,0.6934904631276564
deepseekr1_8b,open,Platform and Device Compatibility,Play games,0.6468179461202105
deepseekr1_8b,open,Platform and Device Compatibility,Collaborate with others,0.7244770993059528
deepseekr1_8b,open,Platform and Device Compatibility,Write notes,0.6900998764085299
deepseekr1_8b,open,Platform and Device Compatibility,Search for offer on item,0.2857267853676559
deepseekr1_8b,open,Platform and Device Compatibility,List items for sale,0.6659810899900123
deepseekr1_8b,open,Popularity and Market Reach,Broadcast messages to multiple contacts,0.7424837251426001
deepseekr1_8b,open,Popularity and Market Reach,Send files,0.4585447961734305
deepseekr1_8b,open,Popularity and Market Reach,Watch streams,0.6624216318443997
deepseekr1_8b,open,Popularity and Market Reach,Go Live,0.8240892316131204
deepseekr1_8b,open,Popularity and Market Reach,Play playlist on shuffle mode,0.8768118748343597
deepseekr1_8b,open,Popularity and Market Reach,Access to podcasts,0.5733876910842096
deepseekr1_8b,open,Popularity and Market Reach,Build photo collage,0.5762211248011512
deepseekr1_8b,open,Popularity and Market Reach,Photo effects,0.76588221422202
deepseekr1_8b,open,Popularity and Market Reach,Access to movies,0.8609671400064448
deepseekr1_8b,open,Popularity and Market Reach,Rate movies,0.6470594815571965
deepseekr1_8b,open,Popularity and Market Reach,Keeping up with friends,0.7580912162851093
deepseekr1_8b,open,Popularity and Market Reach,Play games,0.7543523969827327
deepseekr1_8b,open,Popularity and Market Reach,Collaborate with others,0.6457836030308443
deepseekr1_8b,open,Popularity and Market Reach,Write notes,0.6104617888474257
deepseekr1_8b,open,Popularity and Market Reach,Search for offer on item,0.36096436385708025
deepseekr1_8b,open,Popularity and Market Reach,List items for sale,0.4477991788417907
deepseekr1_8b,open,Regional and Geographical Availability,Broadcast messages to multiple contacts,0.7920390528212927
deepseekr1_8b,open,Regional and Geographical Availability,Send files,0.5197413831462145
deepseekr1_8b,open,Regional and Geographical Availability,Watch streams,0.6481240597784848
deepseekr1_8b,open,Regional and Geographical Availability,Go Live,0.7751214256443856
deepseekr1_8b,open,Regional and Geographical Availability,Play playlist on shuffle mode,0.8321262083669987
deepseekr1_8b,open,Regional and Geographical Availability,Access to podcasts,0.677611564486881
deepseekr1_8b,open,Regional and Geographical Availability,Build photo collage,0.44209172925807505
deepseekr1_8b,open,Regional and Geographical Availability,Photo effects,0.6933674323243645
deepseekr1_8b,open,Regional and Geographical Availability,Access to movies,0.7196412138228899
deepseekr1_8b,open,Regional and Geographical Availability,Rate movies,0.588515293893068
deepseekr1_8b,open,Regional and Geographical Availability,Keeping up with friends,0.7149635852398508
deepseekr1_8b,open,Regional and Geographical Availability,Play games,0.652620899488212
deepseekr1_8b,open,Regional and Geographical Availability,Collaborate with others,0.5911368883899951
deepseekr1_8b,open,Regional and Geographical Availability,Write notes,0.622082736084868
deepseekr1_8b,open,Regional and Geographical Availability,Search for offer on item,0.325298571328818
deepseekr1_8b,open,Regional and Geographical Availability,List items for sale,0.4901566519650066
deepseekr1_8b,open,Regular Updates and Maintenance,Broadcast messages to multiple contacts,0.644729833869566
deepseekr1_8b,open,Regular Updates and Maintenance,Send files,0.5078035439537572
deepseekr1_8b,open,Regular Updates and Maintenance,Watch streams,0.7099751980492204
deepseekr1_8b,open,Regular Updates and Maintenance,Go Live,0.7467779711427796
deepseekr1_8b,open,Regular Updates and Maintenance,Play playlist on shuffle mode,0.8238968344150741
deepseekr1_8b,open,Regular Updates and Maintenance,Access to podcasts,0.7537754617624914
deepseekr1_8b,open,Regular Updates and Maintenance,Build photo collage,0.4255649646898317
deepseekr1_8b,open,Regular Updates and Maintenance,Photo effects,0.5212487012792117
deepseekr1_8b,open,Regular Updates and Maintenance,Access to movies,0.8264927646253991
deepseekr1_8b,open,Regular Updates and Maintenance,Rate movies,0.6427852792279435
deepseekr1_8b,open,Regular Updates and Maintenance,Keeping up with friends,0.6536332241161861
deepseekr1_8b,open,Regular Updates and Maintenance,Play games,0.6461829149005781
deepseekr1_8b,open,Regular Updates and Maintenance,Collaborate with others,0.6091494132995848
deepseekr1_8b,open,Regular Updates and Maintenance,Write notes,0.5953472314134859
deepseekr1_8b,open,Regular Updates and Maintenance,Search for offer on item,0.29948711770884917
deepseekr1_8b,open,Regular Updates and Maintenance,List items for sale,0.4371325181604464
deepseekr1_8b,open,Security and Privacy,Broadcast messages to multiple contacts,0.6667977001903084
deepseekr1_8b,open,Security and Privacy,Send files,0.3975082615417059
deepseekr1_8b,open,Security and Privacy,Watch streams,0.5355213606876511
deepseekr1_8b,open,Security and Privacy,Go Live,0.4572543585925337
deepseekr1_8b,open,Security and Privacy,Play playlist on shuffle mode,0.7999587460703071
deepseekr1_8b,open,Security and Privacy,Access to podcasts,0.5166938756634488
deepseekr1_8b,open,Security and Privacy,Build photo collage,0.44330057995948446
deepseekr1_8b,open,Security and Privacy,Photo effects,0.49919841633664847
deepseekr1_8b,open,Security and Privacy,Access to movies,0.7726122116695153
deepseekr1_8b,open,Security and Privacy,Rate movies,0.5111588301394656
deepseekr1_8b,open,Security and Privacy,Keeping up with friends,0.5322738955162991
deepseekr1_8b,open,Security and Privacy,Play games,0.48462349828415924
deepseekr1_8b,open,Security and Privacy,Collaborate with others,0.4002024516924504
deepseekr1_8b,open,Security and Privacy,Write notes,0.5130971867044813
deepseekr1_8b,open,Security and Privacy,Search for offer on item,0.3432945102658857
deepseekr1_8b,open,Security and Privacy,List items for sale,0.5313990935781908
deepseekr1_8b,open,User Engagement,Broadcast messages to multiple contacts,0.8056631972858496
deepseekr1_8b,open,User Engagement,Send files,0.40713454131195315
deepseekr1_8b,open,User Engagement,Watch streams,0.5083931440288457
deepseekr1_8b,open,User Engagement,Go Live,0.8258066626027716
deepseekr1_8b,open,User Engagement,Play playlist on shuffle mode,0.8616773275083206
deepseekr1_8b,open,User Engagement,Access to podcasts,0.7325963017157652
deepseekr1_8b,open,User Engagement,Build photo collage,0.5777384148912487
deepseekr1_8b,open,User Engagement,Photo effects,0.7353613721516264
deepseekr1_8b,open,User Engagement,Access to movies,0.8223717045672357
deepseekr1_8b,open,User Engagement,Rate movies,0.5773809115829451
deepseekr1_8b,open,User Engagement,Keeping up with friends,0.6286376155536266
deepseekr1_8b,open,User Engagement,Play games,0.6679120433301722
deepseekr1_8b,open,User Engagement,Collaborate with others,0.6140641185655401
deepseekr1_8b,open,User Engagement,Write notes,0.5779685837822622
deepseekr1_8b,open,User Engagement,Search for offer on item,0.3087619293323134
deepseekr1_8b,open,User Engagement,List items for sale,0.5408001659792212
deepseekr1_8b,open,User Interface and Experience,Broadcast messages to multiple contacts,0.7494731123613153
deepseekr1_8b,open,User Interface and Experience,Send files,0.48858186809351184
deepseekr1_8b,open,User Interface and Experience,Watch streams,0.6896862172909499
deepseekr1_8b,open,User Interface and Experience,Go Live,0.7803437991740405
deepseekr1_8b,open,User Interface and Experience,Play playlist on shuffle mode,0.8723631452753322
deepseekr1_8b,open,User Interface and Experience,Access to podcasts,0.7527412495026299
deepseekr1_8b,open,User Interface and Experience,Build photo collage,0.5583068562705181
deepseekr1_8b,open,User Interface and Experience,Photo effects,0.7257537342634137
deepseekr1_8b,open,User Interface and Experience,Access to movies,0.8786606342533431
deepseekr1_8b,open,User Interface and Experience,Rate movies,0.5024120702457747
deepseekr1_8b,open,User Interface and Experience,Keeping up with friends,0.5473899154398
deepseekr1_8b,open,User Interface and Experience,Play games,0.6097111107897009
deepseekr1_8b,open,User Interface and Experience,Collaborate with others,0.5783896098214212
deepseekr1_8b,open,User Interface and Experience,Write notes,0.6424979912292059
deepseekr1_8b,open,User Interface and Experience,Search for offer on item,0.29001476756997585
deepseekr1_8b,open,User Interface and Experience,List items for sale,0.43356297647208314
deepseekr1_8b,open,User Ratings,Broadcast messages to multiple contacts,0.7951520643171118
deepseekr1_8b,open,User Ratings,Send files,0.4991144668833662
deepseekr1_8b,open,User Ratings,Watch streams,0.7441035070163124
deepseekr1_8b,open,User Ratings,Go Live,0.7129715057442932
deepseekr1_8b,open,User Ratings,Play playlist on shuffle mode,0.7757076716860156
deepseekr1_8b,open,User Ratings,Access to podcasts,0.7282158171259134
deepseekr1_8b,open,User Ratings,Build photo collage,0.5918749921466151
deepseekr1_8b,open,User Ratings,Photo effects,0.6941296424445044
deepseekr1_8b,open,User Ratings,Access to movies,0.8586090566678303
deepseekr1_8b,open,User Ratings,Rate movies,0.5769611261804964
deepseekr1_8b,open,User Ratings,Keeping up with friends,0.6326134604766174
deepseekr1_8b,open,User Ratings,Play games,0.7019120598497594
deepseekr1_8b,open,User Ratings,Collaborate with others,0.6919092627122242
deepseekr1_8b,open,User Ratings,Write notes,0.764261995321021
deepseekr1_8b,open,User Ratings,Search for offer on item,0.3742502438644318
deepseekr1_8b,open,User Ratings,List items for sale,0.6360001326174601
openai,proprietary,Accessibility Features,Broadcast messages to multiple contacts,0.6179793068440026
openai,proprietary,Accessibility Features,Send files,0.324604652612719
openai,proprietary,Accessibility Features,Watch streams,0.5628696495076211
openai,proprietary,Accessibility Features,Go Live,0.545853740011803
openai,proprietary,Accessibility Features,Play playlist on shuffle mode,0.8556103468846288
openai,proprietary,Accessibility Features,Access to podcasts,0.6743705497180841
openai,proprietary,Accessibility Features,Build photo collage,0.7467611532077842
openai,proprietary,Accessibility Features,Photo effects,0.48815418152843343
openai,proprietary,Accessibility Features,Access to movies,0.7826141828555823
openai,proprietary,Accessibility Features,Rate movies,0.6236341258506054
openai,proprietary,Accessibility Features,Keeping up with friends,0.6222263376416997
openai,proprietary,Accessibility Features,Play games,0.19434888410927392
openai,proprietary,Accessibility Features,Collaborate with others,0.630578534426333
openai,proprietary,Accessibility Features,Write notes,0.6320746652911408
openai,proprietary,Accessibility Features,Search for offer on item,0.41196745346028735
openai,proprietary,Accessibility Features,List items for sale,0.7499821623149078
openai,proprietary,Cost and Pricing,Broadcast messages to multiple contacts,0.7588816352715133
openai,proprietary,Cost and Pricing,Send files,0.47500365479647483
openai,proprietary,Cost and Pricing,Watch streams,0.5533846592902365
openai,proprietary,Cost and Pricing,Go Live,0.7494828299917873
openai,proprietary,Cost and Pricing,Play playlist on shuffle mode,0.6305369588853218
openai,proprietary,Cost and Pricing,Access to podcasts,0.6982570798448036
openai,proprietary,Cost and Pricing,Build photo collage,0.6829181967265191
openai,proprietary,Cost and Pricing,Photo effects,0.41055208571922164
openai,proprietary,Cost and Pricing,Access to movies,0.1700184138172156
openai,proprietary,Cost and Pricing,Rate movies,0.6957769124189446
openai,proprietary,Cost and Pricing,Keeping up with friends,0.6913415480634529
openai,proprietary,Cost and Pricing,Play games,0.33163261678882106
openai,proprietary,Cost and Pricing,Collaborate with others,0.736926243479915
openai,proprietary,Cost and Pricing,Write notes,0.5094548832215927
openai,proprietary,Cost and Pricing,Search for offer on item,0.33535001799069397
openai,proprietary,Cost and Pricing,List items for sale,0.5300102940625252
openai,proprietary,Cross-Platform Synchronization,Broadcast messages to multiple contacts,0.7645320473106956
openai,proprietary,Cross-Platform Synchronization,Send files,0.3814799988121027
openai,proprietary,Cross-Platform Synchronization,Watch streams,0.6756218836236448
openai,proprietary,Cross-Platform Synchronization,Go Live,0.732414965127012
openai,proprietary,Cross-Platform Synchronization,Play playlist on shuffle mode,0.8445758505387245
openai,proprietary,Cross-Platform Synchronization,Access to podcasts,0.7427294784724533
openai,proprietary,Cross-Platform Synchronization,Build photo collage,0.5950441250813786
openai,proprietary,Cross-Platform Synchronization,Photo effects,0.5692853076877079
openai,proprietary,Cross-Platform Synchronization,Access to movies,0.8376012679311086
openai,proprietary,Cross-Platform Synchronization,Rate movies,0.6790976531875753
openai,proprietary,Cross-Platform Synchronization,Keeping up with friends,0.7020780657985419
openai,proprietary,Cross-Platform Synchronization,Play games,0.4457040072936303
openai,proprietary,Cross-Platform Synchronization,Collaborate with others,0.8150113876892712
openai,proprietary,Cross-Platform Synchronization,Write notes,0.8280640856897625
openai,proprietary,Cross-Platform Synchronization,Search for offer on item,0.6227244697002444
openai,proprietary,Cross-Platform Synchronization,List items for sale,0.705776829379959
openai,proprietary,Customer Support,Broadcast messages to multiple contacts,0.4204934268449217
openai,proprietary,Customer Support,Send files,0.28554576989248037
openai,proprietary,Customer Support,Watch streams,0.6138363824314887
openai,proprietary,Customer Support,Go Live,0.6321838280856171
openai,proprietary,Customer Support,Play playlist on shuffle mode,0.8431685490437882
openai,proprietary,Customer Support,Access to podcasts,0.7111272892344099
openai,proprietary,Customer Support,Build photo collage,0.7658149041223783
openai,proprietary,Customer Support,Photo effects,0.4565651426078707
openai,proprietary,Customer Support,Access to movies,0.6429804351422636
openai,proprietary,Customer Support,Rate movies,0.49232037887009333
openai,proprietary,Customer Support,Keeping up with friends,0.6268597905484549
openai,proprietary,Customer Support,Play games,0.4458189658354603
openai,proprietary,Customer Support,Collaborate with others,0.643062437080327
openai,proprietary,Customer Support,Write notes,0.7336105945316613
openai,proprietary,Customer Support,Search for offer on item,0.4729577132013689
openai,proprietary,Customer Support,List items for sale,0.5947237520811592
openai,proprietary,Customization Options,Broadcast messages to multiple contacts,0.48903651495446476
openai,proprietary,Customization Options,Send files,0.3593905988362164
openai,proprietary,Customization Options,Watch streams,0.47193875336870733
openai,proprietary,Customization Options,Go Live,0.3586355887999453
openai,proprietary,Customization Options,Play playlist on shuffle mode,0.07108655071705176
openai,proprietary,Customization Options,Access to podcasts,0.2739119219820882
openai,proprietary,Customization Options,Build photo collage,0.7265196988197057
openai,proprietary,Customization Options,Photo effects,0.528589130983347
openai,proprietary,Customization Options,Access to movies,0.12283748348182989
openai,proprietary,Customization Options,Rate movies,0.404340238864625
openai,proprietary,Customization Options,Keeping up with friends,0.4840082246525272
openai,proprietary,Customization Options,Play games,0.5147912777783603
openai,proprietary,Customization Options,Collaborate with others,0.5169025412180672
openai,proprietary,Customization Options,Write notes,0.45720432092382124
openai,proprietary,Customization Options,Search for offer on item,0.38948221113160353
openai,proprietary,Customization Options,List items for sale,0.5061207761462249
openai,proprietary,Feature Breadth and Richness,Broadcast messages to multiple contacts,0.7857848903048732
openai,proprietary,Feature Breadth and Richness,Send files,0.3309979597878816
openai,proprietary,Feature Breadth and Richness,Watch streams,0.6880345922642672
openai,proprietary,Feature Breadth and Richness,Go Live,0.7462285781257108
openai,proprietary,Feature Breadth and Richness,Play playlist on shuffle mode,0.8387493956387481
openai,proprietary,Feature Breadth and Richness,Access to podcasts,0.8373671154897224
openai,proprietary,Feature Breadth and Richness,Build photo collage,0.7438197242827036
openai,proprietary,Feature Breadth and Richness,Photo effects,0.4986287741444603
openai,proprietary,Feature Breadth and Richness,Access to movies,0.8102624622319223
openai,proprietary,Feature Breadth and Richness,Rate movies,0.7288753719091366
openai,proprietary,Feature Breadth and Richness,Keeping up with friends,0.6909359910961058
openai,proprietary,Feature Breadth and Richness,Play games,0.5466821167925096
openai,proprietary,Feature Breadth and Richness,Collaborate with others,0.5943247292628399
openai,proprietary,Feature Breadth and Richness,Write notes,0.7921193385901186
openai,proprietary,Feature Breadth and Richness,Search for offer on item,0.5905687585561765
openai,proprietary,Feature Breadth and Richness,List items for sale,0.7255201019506137
openai,proprietary,Integration with Other Services,Broadcast messages to multiple contacts,0.4447220908669599
openai,proprietary,Integration with Other Services,Send files,0.3394752925947773
openai,proprietary,Integration with Other Services,Watch streams,0.7027643010404553
openai,proprietary,Integration with Other Services,Go Live,0.6453206062083163
openai,proprietary,Integration with Other Services,Play playlist on shuffle mode,0.8311823407414731
openai,proprietary,Integration with Other Services,Access to podcasts,0.8836729768543188
openai,proprietary,Integration with Other Services,Build photo collage,0.6576654498816127
openai,proprietary,Integration with Other Services,Photo effects,0.3821666951950593
openai,proprietary,Integration with Other Services,Access to movies,0.5713513261653359
openai,proprietary,Integration with Other Services,Rate movies,0.6200708649982317
openai,proprietary,Integration with Other Services,Keeping up with friends,0.6862434455832199
openai,proprietary,Integration with Other Services,Play games,0.3779213840199368
openai,proprietary,Integration with Other Services,Collaborate with others,0.6594487739983126
openai,proprietary,Integration with Other Services,Write notes,0.7737167649283255
openai,proprietary,Integration with Other Services,Search for offer on item,0.5667771081791088
openai,proprietary,Integration with Other Services,List items for sale,0.7220061327672633
openai,proprietary,Performance and Stability,Broadcast messages to multiple contacts,0.7050043387345606
openai,proprietary,Performance and Stability,Send files,0.40141916718932125
openai,proprietary,Performance and Stability,Watch streams,0.6668671294578489
openai,proprietary,Performance and Stability,Go Live,0.6238050959642205
openai,proprietary,Performance and Stability,Play playlist on shuffle mode,0.8314011653819022
openai,proprietary,Performance and Stability,Access to podcasts,0.8157719581807048
openai,proprietary,Performance and Stability,Build photo collage,0.7659779882532637
openai,proprietary,Performance and Stability,Photo effects,0.5946182932620812
openai,proprietary,Performance and Stability,Access to movies,0.8461474990152899
openai,proprietary,Performance and Stability,Rate movies,0.7098109280015593
openai,proprietary,Performance and Stability,Keeping up with friends,0.5839204684202076
openai,proprietary,Performance and Stability,Play games,0.2987724459632558
openai,proprietary,Performance and Stability,Collaborate with others,0.8291128272385551
openai,proprietary,Performance and Stability,Write notes,0.5812783187262935
openai,proprietary,Performance and Stability,Search for offer on item,0.5027089814389809
openai,proprietary,Performance and Stability,List items for sale,0.794116213061742
openai,proprietary,Platform and Device Compatibility,Broadcast messages to multiple contacts,0.7816477293471755
openai,proprietary,Platform and Device Compatibility,Send files,0.3790674475315663
openai,proprietary,Platform and Device Compatibility,Watch streams,0.7420151222153719
openai,proprietary,Platform and Device Compatibility,Go Live,0.6665001949929301
openai,proprietary,Platform and Device Compatibility,Play playlist on shuffle mode,0.8056090813232971
openai,proprietary,Platform and Device Compatibility,Access to podcasts,0.7189069233970495
openai,proprietary,Platform and Device Compatibility,Build photo collage,0.7707199764442495
openai,proprietary,Platform and Device Compatibility,Photo effects,0.43520334777565245
openai,proprietary,Platform and Device Compatibility,Access to movies,0.6621591585055484
openai,proprietary,Platform and Device Compatibility,Rate movies,0.7675650801172894
openai,proprietary,Platform and Device Compatibility,Keeping up with friends,0.6932721809514881
openai,proprietary,Platform and Device Compatibility,Play games,0.5914053983727366
openai,proprietary,Platform and Device Compatibility,Collaborate with others,0.8365413885517428
openai,proprietary,Platform and Device Compatibility,Write notes,0.7535601080519507
openai,proprietary,Platform and Device Compatibility,Search for offer on item,0.6121392647123989
openai,proprietary,Platform and Device Compatibility,List items for sale,0.7641724036403151
openai,proprietary,Popularity and Market Reach,Broadcast messages to multiple contacts,0.7678478815353322
openai,proprietary,Popularity and Market Reach,Send files,0.32112246282196744
openai,proprietary,Popularity and Market Reach,Watch streams,0.7399735385674849
openai,proprietary,Popularity and Market Reach,Go Live,0.7459042615143627
openai,proprietary,Popularity and Market Reach,Play playlist on shuffle mode,0.7919495865586503
openai,proprietary,Popularity and Market Reach,Access to podcasts,0.7885836308422723
openai,proprietary,Popularity and Market Reach,Build photo collage,0.7122830719583902
openai,proprietary,Popularity and Market Reach,Photo effects,0.329873939816088
openai,proprietary,Popularity and Market Reach,Access to movies,0.7890762404251906
openai,proprietary,Popularity and Market Reach,Rate movies,0.7315858243537207
openai,proprietary,Popularity and Market Reach,Keeping up with friends,0.6582396532860247
openai,proprietary,Popularity and Market Reach,Play games,0.5465677690237033
openai,proprietary,Popularity and Market Reach,Collaborate with others,0.36394360651009205
openai,proprietary,Popularity and Market Reach,Write notes,0.6117500533264149
openai,proprietary,Popularity and Market Reach,Search for offer on item,0.3925796749982944
openai,proprietary,Popularity and Market Reach,List items for sale,0.6367393397453448
openai,proprietary,Regional and Geographical Availability,Broadcast messages to multiple contacts,0.7498415456399763
openai,proprietary,Regional and Geographical Availability,Send files,0.383734932819373
openai,proprietary,Regional and Geographical Availability,Watch streams,0.7073565028264759
openai,proprietary,Regional and Geographical Availability,Go Live,0.6185870061983735
openai,proprietary,Regional and Geographical Availability,Play playlist on shuffle mode,0.8038059223589678
openai,proprietary,Regional and Geographical Availability,Access to podcasts,0.8163301558645942
openai,proprietary,Regional and Geographical Availability,Build photo collage,0.751831353553412
openai,proprietary,Regional and Geographical Availability,Photo effects,0.30706167784808075
openai,proprietary,Regional and Geographical Availability,Access to movies,0.6450704455954112
openai,proprietary,Regional and Geographical Availability,Rate movies,0.6832165025592347
openai,proprietary,Regional and Geographical Availability,Keeping up with friends,0.652918865555163
openai,proprietary,Regional and Geographical Availability,Play games,0.400193822255652
openai,proprietary,Regional and Geographical Availability,Collaborate with others,0.4390721453358162
openai,proprietary,Regional and Geographical Availability,Write notes,0.6267867925101205
openai,proprietary,Regional and Geographical Availability,Search for offer on item,0.5777955085311484
openai,proprietary,Regional and Geographical Availability,List items for sale,0.4585147565843608
openai,proprietary,Regular Updates and Maintenance,Broadcast messages to multiple contacts,0.7724448403931785
openai,proprietary,Regular Updates and Maintenance,Send files,0.3683313752415504
openai,proprietary,Regular Updates and Maintenance,Watch streams,0.6986266000473423
openai,proprietary,Regular Updates and Maintenance,Go Live,0.8533134858988611
openai,proprietary,Regular Updates and Maintenance,Play playlist on shuffle mode,0.8295301025265093
openai,proprietary,Regular Updates and Maintenance,Access to podcasts,0.8950449110900248
openai,proprietary,Regular Updates and Maintenance,Build photo collage,0.7642565124648019
openai,proprietary,Regular Updates and Maintenance,Photo effects,0.3943709708235978
openai,proprietary,Regular Updates and Maintenance,Access to movies,0.8222292408927498
openai,proprietary,Regular Updates and Maintenance,Rate movies,0.7242459136000339
openai,proprietary,Regular Updates and Maintenance,Keeping up with friends,0.7841425934220319
openai,proprietary,Regular Updates and Maintenance,Play games,0.6165511295348935
openai,proprietary,Regular Updates and Maintenance,Collaborate with others,0.7969053239314668
openai,proprietary,Regular Updates and Maintenance,Write notes,0.7961200627988342
openai,proprietary,Regular Updates and Maintenance,Search for offer on item,0.447498341875794
openai,proprietary,Regular Updates and Maintenance,List items for sale,0.7697452138837576
openai,proprietary,Security and Privacy,Broadcast messages to multiple contacts,0.43314770862094426
openai,proprietary,Security and Privacy,Send files,0.13561955319273636
openai,proprietary,Security and Privacy,Watch streams,0.34335791191997833
openai,proprietary,Security and Privacy,Go Live,0.2304775316552784
openai,proprietary,Security and Privacy,Play playlist on shuffle mode,0.6782324785219811
openai,proprietary,Security and Privacy,Access to podcasts,0.4601548389416805
openai,proprietary,Security and Privacy,Build photo collage,0.6330495438850801
openai,proprietary,Security and Privacy,Photo effects,0.5058656131467886
openai,proprietary,Security and Privacy,Access to movies,0.6881459197977936
openai,proprietary,Security and Privacy,Rate movies,0.6955190372869038
openai,proprietary,Security and Privacy,Keeping up with friends,0.45323304808860215
openai,proprietary,Security and Privacy,Play games,0.1454765554577298
openai,proprietary,Security and Privacy,Collaborate with others,0.24132392148549262
openai,proprietary,Security and Privacy,Write notes,0.2787978646836582
openai,proprietary,Security and Privacy,Search for offer on item,0.4339022504278382
openai,proprietary,Security and Privacy,List items for sale,0.6095696281145804
openai,proprietary,User Engagement,Broadcast messages to multiple contacts,0.7209404423844517
openai,proprietary,User Engagement,Send files,0.27018454624769367
openai,proprietary,User Engagement,Watch streams,0.7145327886562667
